date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20160628,288.3,287.02,289.66,286.32,2.43,281.026,278.399,274.4005,6.957,6.412,1.09,71.186,64.1838,85.1902,64.074,15.936,15.936,3.027,4.082,6.481,50,45.833,236.924,7.7475,278.6474
20160629,288.28,287.55,289.45,284.2,2.81,282.982,279.587,276.0055,7.27,6.583,1.374,75.452,67.9399,90.4762,64.059,16.016,16.016,2.142,3.419,5.882,50,45.833,159.1519,7.685,281.2958
20160630,291.99,290.02,298.2,290.02,3.8,286.074,281.39,277.355,7.729,6.813,1.834,76.9572,70.9457,88.9804,65.531,20.032,20.032,2.639,4.15,6.591,50,45.833,175.4589,7.61,282.9292
20160701,286.55,287.2,291.88,284,2.6,288.624,282.208,278.497,7.567,6.964,1.207,72.1113,71.3342,73.6654,61.667,37.581,37.581,0.139,1.902,4.069,41.667,45.833,84.3705,7.8845,283.6978
20160704,293.94,287,295.4,286,2.95,289.812,283.974,279.841,7.943,7.159,1.567,76.8269,73.1651,84.1504,64.624,13.742,18.362,1.53,3.915,6.103,50,47.222,108.2175,8.071,285.7609
20160705,300.52,295.03,303.1,295.03,4.17,292.256,286.641,280.667,8.672,7.462,2.42,82.1557,76.162,94.1432,66.99,7.187,13.508,3.06,5.552,7.76,50,48.611,151.2797,7.512,287.6613
20160706,317.8,299.8,318,299.01,4.73,298.16,290.571,282.754,10.523,8.074,4.897,87.9726,80.0988,103.72,72.103,0.394,0.588,7.179,10.281,13.064,58.333,50,204.9374,8.0115,292.8814
20160707,316.97,315.8,326.8,312.08,5.07,303.156,294.615,284.707,11.787,8.817,5.94,85.6561,81.9513,93.0658,71.548,16.493,22.967,5.203,8.639,11.885,58.333,51.389,195.1063,8.5735,297.3826
20160708,309.97,313.53,315.5,306.16,4.55,307.84,298.232,286.4965,12.084,9.47,5.228,77.3299,80.4108,71.1681,67.005,32.49,39.322,1.866,5.293,8.728,50,51.389,114.9403,8.8935,300.0223
20160711,315.14,309.03,324,309.03,5.75,312.08,300.946,288.8935,12.592,10.095,4.995,75.8056,78.8757,69.6654,68.544,27.243,28.578,1.968,5.892,10.041,58.333,54.167,119.1964,9.1215,302.3955
20160712,325,315.76,326.6,315,5.31,316.976,304.616,291.5075,13.633,10.802,5.661,82.4685,80.0733,87.2589,71.216,4.206,5.666,3.426,7.662,12.682,66.667,56.944,122.4765,9.3715,306.079
20160713,317.21,323.03,324.73,315.05,5.34,316.858,307.509,293.548,13.672,11.376,4.591,80.8435,80.3301,81.8704,66.555,22.407,34.509,0.062,4.241,9.36,58.333,58.333,90.6359,9.4895,308.4964
20160714,317.2,316.09,320.8,315.2,2.92,316.904,310.03,295.71,13.546,11.81,3.471,79.3859,80.0153,78.1269,66.55,22.43,46.512,0.09,3.419,8.685,50,56.944,72.7735,9.5685,309.7856
20160715,317.5,317.12,318.03,315.06,2.68,318.41,313.125,297.6665,13.316,12.111,2.41,76.4996,78.8434,71.812,66.641,22.794,44.521,0.157,2.701,8.012,58.333,56.944,59.8751,9.2725,310.2806
20160718,316.25,317.5,319.5,315.66,2.34,318.632,315.356,299.665,12.885,12.266,1.238,71.6786,76.4552,62.1256,65.857,33.207,58.907,-0.566,1.632,6.927,50,56.944,54.7736,9.1715,311.4673
20160719,308.11,315.5,316.3,305.55,4.14,315.254,316.115,301.378,11.751,12.163,-0.824,51.8014,68.2373,18.9298,60.985,67.254,87.838,-2.767,-1.552,3.711,50,55.556,4.0041,9.462,311.2943
20160720,308.57,308.62,310.87,307.5,1.77,313.526,315.192,302.8815,10.765,11.883,-2.236,39.3166,58.597,0.7556,61.154,85.788,84.254,-1.773,-1.788,3.364,50,52.778,-13.2349,9.301,310.5462
20160721,314.12,310.15,317.6,309,3.3,312.91,314.907,304.761,10.313,11.569,-2.513,39.7819,52.3253,14.6951,63.169,59.287,43.803,0.158,-0.381,4.701,50,51.389,13.032,9.498,310.9932
20160722,308.02,312.9,315.2,307.38,2.89,311.014,314.712,306.472,9.355,11.126,-3.543,30.4326,45.0277,1.2423,59.623,88.266,82.294,-1.306,-2.062,2.217,41.667,50,-51.9683,9.399,310.8272
20160725,311.28,307.6,314.19,307,2.36,310.02,314.326,307.636,8.757,10.653,-3.791,30.2467,40.1007,10.5386,60.848,72.779,58.925,0.071,-0.876,2.767,50,48.611,-66.5296,8.8335,310.9663
20160726,319.5,309.01,319.5,308.5,3.56,312.298,313.776,309.196,8.845,10.291,-2.892,50.6563,43.6192,64.7303,63.744,27.268,0,2.535,1.485,4.89,58.333,50,18.952,9.2165,312.1386
